Product_ID,Product_Name,Category,Supplier_Name,Order_Date,Delivery_Date,Stock_Quantity,Reorder_Level,Units_Sold,Purchase_Cost,Selling_Price,Warehouse_Location,Shipping_Time_Days
PROD1107,TV,Home Appliances,Supplier B,2024-12-21,2024-12-26,280,58,176,1353,1590,Bangalore,5
PROD1108,Watch,Electronics,Supplier B,2023-11-24,2023-11-28,69,56,180,1136,1289,Hyderabad,4
PROD1109,Fan,Sports,Supplier C,2023-08-04,2023-08-07,33,111,298,1066,1445,Bangalore,3
PROD1110,Camera,Home Appliances,Supplier B,2023-03-04,2023-03-13,142,130,110,443,943,Hyderabad,9
PROD1111,Mixer,Fashion,Supplier A,2024-05-07,2024-05-13,101,98,55,935,1191,Mumbai,6
PROD1112,Shoes,Home Appliances,Supplier A,2023-10-08,2023-10-16,436,64,140,1598,1984,Mumbai,8
PROD1113,Mixer,Fashion,Supplier E,2024-12-05,2024-12-14,201,63,178,426,925,Chennai,9
PROD1114,Shoes,Home Appliances,Supplier B,2023-07-11,2023-07-12,104,65,190,1630,1837,Bangalore,1
PROD1115,Laptop,Electronics,Supplier C,2024-10-31,2024-11-07,16,51,200,924,1371,Chennai,7
PROD1116,Shoes,Home Appliances,Supplier A,2024-04-28,2024-05-06,73,125,243,1461,1723,Delhi,8
PROD1117,Watch,Home Appliances,Supplier B,2023-10-04,2023-10-12,133,145,210,886,1365,Chennai,8
PROD1118,Shoes,Sports,Supplier E,2023-02-12,2023-02-22,339,96,240,897,1141,Bangalore,10
PROD1119,Camera,Sports,Supplier B,2024-05-05,2024-05-13,47,68,132,1009,1493,Hyderabad,8
PROD1120,Mixer,Fashion,Supplier A,2024-08-16,2024-08-18,363,143,212,1064,1521,Mumbai,2
PROD1121,TV,Sports,Supplier E,2023-04-15,2023-04-16,40,60,155,239,705,Bangalore,1
PROD1122,Watch,Home Appliances,Supplier D,2023-09-30,2023-10-08,76,69,90,1073,1349,Bangalore,8
PROD1123,Watch,Electronics,Supplier C,2024-11-16,2024-11-25,68,102,13,1347,1472,Delhi,9
PROD1124,AC,Sports,Supplier D,2023-10-14,2023-10-17,250,64,231,1394,1765,Hyderabad,3
PROD1125,Phone,Electronics,Supplier E,2023-03-26,2023-03-28,371,115,40,1097,1510,Delhi,2
PROD1126,Mixer,Electronics,Supplier A,2024-11-16,2024-11-18,55,106,131,1277,1663,Delhi,2
PROD1127,Laptop,Sports,Supplier C,2023-01-30,2023-02-08,186,113,18,1160,1531,Mumbai,9
PROD1128,TV,Electronics,Supplier B,2024-10-04,2024-10-06,358,129,186,1282,1768,Bangalore,2
PROD1129,Phone,Sports,Supplier A,2024-05-09,2024-05-15,496,147,164,1855,2064,Chennai,6
PROD1130,Fan,Electronics,Supplier B,2024-08-08,2024-08-16,345,77,133,1423,1510,Bangalore,8
PROD1131,TV,Electronics,Supplier A,2023-04-19,2023-04-25,193,129,91,1299,1516,Bangalore,6
PROD1132,Phone,Home Appliances,Supplier C,2024-11-15,2024-11-19,273,83,3,1035,1508,Bangalore,4
PROD1133,Watch,Sports,Supplier A,2024-06-26,2024-07-02,96,93,120,795,1148,Hyderabad,6
PROD1134,Tablet,Home Appliances,Supplier A,2024-03-07,2024-03-10,59,132,6,890,1003,Mumbai,3
PROD1135,Camera,Home Appliances,Supplier C,2023-04-17,2023-04-22,50,129,106,1566,1887,Mumbai,5
PROD1136,AC,Fashion,Supplier C,2024-06-28,2024-07-08,39,140,168,1310,1406,Delhi,10
PROD1137,Phone,Fashion,Supplier C,2023-08-09,2023-08-19,355,58,254,930,1002,Delhi,10
PROD1138,TV,Fashion,Supplier E,2024-04-12,2024-04-20,141,110,126,1937,2256,Delhi,8
PROD1139,Tablet,Sports,Supplier E,2023-02-15,2023-02-24,344,77,163,1009,1066,Delhi,9
PROD1140,Phone,Sports,Supplier D,2023-04-28,2023-05-01,124,69,146,1535,1666,Mumbai,3
PROD1141,TV,Home Appliances,Supplier C,2023-01-11,2023-01-21,161,91,241,1111,1561,Hyderabad,10
PROD1142,TV,Fashion,Supplier C,2024-06-03,2024-06-11,86,149,216,856,976,Bangalore,8
PROD1143,AC,Sports,Supplier B,2023-05-31,2023-06-05,92,113,277,1978,2279,Mumbai,5
PROD1144,Fan,Electronics,Supplier B,2023-07-17,2023-07-19,281,112,61,456,818,Chennai,2
PROD1145,Tablet,Home Appliances,Supplier E,2024-07-08,2024-07-16,131,59,162,523,969,Delhi,8
PROD1146,Tablet,Sports,Supplier B,2024-02-24,2024-03-04,433,71,150,898,1342,Chennai,9
PROD1147,Watch,Fashion,Supplier C,2023-06-21,2023-06-23,204,77,257,1339,1821,Bangalore,2
PROD1148,Phone,Electronics,Supplier A,2023-11-20,2023-11-27,149,120,293,1932,1996,Bangalore,7
PROD1149,TV,Fashion,Supplier E,2024-02-13,2024-02-19,156,53,111,1273,1724,Mumbai,6
PROD1150,Mixer,Fashion,Supplier C,2024-07-13,2024-07-23,274,93,56,744,881,Chennai,10
PROD1151,Phone,Home Appliances,Supplier B,2024-07-22,2024-07-29,241,57,115,1321,1801,Mumbai,7
PROD1152,AC,Fashion,Supplier A,2023-05-25,2023-05-31,430,137,48,1554,2054,Hyderabad,6
PROD1153,Laptop,Fashion,Supplier D,2023-11-19,2023-11-21,423,80,56,1388,1715,Delhi,2
PROD1154,Watch,Fashion,Supplier D,2024-07-21,2024-07-22,444,138,9,1462,1776,Mumbai,1
PROD1155,Laptop,Home Appliances,Supplier D,2023-02-20,2023-03-02,261,51,95,1539,1756,Chennai,10
PROD1156,Phone,Fashion,Supplier C,2023-12-02,2023-12-11,214,85,248,871,996,Bangalore,9
PROD1157,Shoes,Home Appliances,Supplier A,2023-09-01,2023-09-02,303,145,117,253,306,Mumbai,1
PROD1158,Tablet,Fashion,Supplier B,2024-09-28,2024-10-05,158,83,206,1516,1638,Chennai,7
PROD1159,Mixer,Electronics,Supplier A,2023-02-10,2023-02-12,290,52,247,970,1223,Chennai,2
PROD1160,Laptop,Home Appliances,Supplier E,2024-03-01,2024-03-03,499,118,7,765,955,Bangalore,2
PROD1161,Phone,Fashion,Supplier B,2023-09-09,2023-09-16,268,77,46,794,861,Bangalore,7
PROD1162,Mixer,Electronics,Supplier A,2024-07-15,2024-07-17,94,111,285,1728,2112,Delhi,2
PROD1163,Laptop,Fashion,Supplier B,2023-10-30,2023-11-08,247,67,230,699,1174,Hyderabad,9
PROD1164,TV,Home Appliances,Supplier B,2023-10-01,2023-10-08,189,93,253,525,776,Hyderabad,7
PROD1165,Watch,Home Appliances,Supplier A,2023-03-15,2023-03-23,75,123,56,1584,1717,Mumbai,8
PROD1166,Watch,Fashion,Supplier B,2024-06-12,2024-06-21,274,114,209,264,760,Hyderabad,9
PROD1167,Shoes,Sports,Supplier E,2023-09-06,2023-09-14,109,139,240,1214,1364,Mumbai,8
PROD1168,Shoes,Home Appliances,Supplier D,2024-11-25,2024-12-05,360,131,286,787,990,Chennai,10
PROD1169,TV,Electronics,Supplier E,2023-03-15,2023-03-19,457,131,49,265,689,Bangalore,4
PROD1170,Phone,Sports,Supplier E,2023-04-17,2023-04-27,56,51,18,1024,1289,Hyderabad,10
PROD1171,Phone,Electronics,Supplier B,2024-03-17,2024-03-19,466,140,287,650,875,Delhi,2
PROD1172,Mixer,Sports,Supplier D,2024-04-08,2024-04-13,433,95,248,422,694,Bangalore,5
PROD1173,Tablet,Home Appliances,Supplier E,2024-03-18,2024-03-24,69,130,229,601,720,Bangalore,6
PROD1174,Laptop,Electronics,Supplier E,2024-09-12,2024-09-20,80,52,67,987,1393,Hyderabad,8
PROD1175,Tablet,Sports,Supplier D,2024-06-26,2024-06-27,456,148,158,1003,1246,Chennai,1
PROD1176,Fan,Home Appliances,Supplier D,2023-12-19,2023-12-20,190,128,184,1778,2080,Hyderabad,1
PROD1177,Camera,Electronics,Supplier B,2024-07-19,2024-07-20,96,104,288,1616,2074,Delhi,1
PROD1178,Tablet,Sports,Supplier E,2024-06-25,2024-06-26,214,150,24,283,771,Chennai,1
PROD1179,Phone,Electronics,Supplier E,2024-03-21,2024-03-26,475,54,242,1793,2115,Hyderabad,5
PROD1180,Fan,Fashion,Supplier E,2024-04-30,2024-05-02,489,103,10,1951,2087,Delhi,2
PROD1181,Fan,Fashion,Supplier C,2024-10-09,2024-10-11,469,72,132,1989,2292,Chennai,2
PROD1182,Mixer,Home Appliances,Supplier A,2023-07-25,2023-07-27,389,86,25,422,869,Mumbai,2
PROD1183,Phone,Home Appliances,Supplier B,2024-12-28,2025-01-01,202,57,295,330,679,Mumbai,4
PROD1184,Phone,Home Appliances,Supplier D,2023-01-08,2023-01-15,456,98,175,475,717,Chennai,7
PROD1185,TV,Fashion,Supplier D,2024-06-25,2024-06-27,263,50,169,1790,1916,Hyderabad,2
PROD1186,Fan,Sports,Supplier A,2023-04-03,2023-04-07,461,86,49,740,1076,Chennai,4
PROD1187,AC,Electronics,Supplier E,2024-02-01,2024-02-04,313,106,231,767,1139,Hyderabad,3
PROD1188,Phone,Home Appliances,Supplier E,2024-09-11,2024-09-17,250,59,185,651,884,Bangalore,6
PROD1189,Shoes,Electronics,Supplier C,2023-06-28,2023-07-08,365,132,281,1817,2118,Bangalore,10
PROD1190,Mixer,Fashion,Supplier E,2024-07-12,2024-07-22,82,92,235,1725,1858,Delhi,10
PROD1191,Phone,Sports,Supplier A,2023-01-24,2023-02-02,22,54,22,1881,1991,Hyderabad,9
PROD1192,Watch,Electronics,Supplier D,2024-03-30,2024-04-08,49,114,294,213,704,Hyderabad,9
PROD1193,Phone,Sports,Supplier E,2023-02-03,2023-02-06,19,132,105,1799,2035,Hyderabad,3
PROD1194,AC,Fashion,Supplier D,2023-04-22,2023-04-27,155,145,204,1927,2227,Mumbai,5
PROD1195,AC,Sports,Supplier B,2024-04-14,2024-04-24,82,105,163,609,659,Mumbai,10
PROD1196,Watch,Sports,Supplier A,2024-07-23,2024-07-31,20,89,207,1179,1434,Bangalore,8
PROD1197,Fan,Electronics,Supplier C,2024-11-08,2024-11-14,41,117,284,916,1157,Bangalore,6
PROD1198,Mixer,Home Appliances,Supplier C,2024-02-11,2024-02-20,35,143,275,1450,1889,Bangalore,9
PROD1199,Laptop,Sports,Supplier D,2024-12-05,2024-12-13,341,100,75,1549,1748,Chennai,8
PROD1200,Mixer,Electronics,Supplier C,2024-08-09,2024-08-10,344,125,189,1549,1710,Chennai,1
PROD1201,AC,Fashion,Supplier A,2024-08-15,2024-08-16,267,94,35,372,513,Delhi,1
PROD1202,Phone,Fashion,Supplier A,2024-10-12,2024-10-15,219,125,125,1399,1682,Delhi,3
PROD1203,AC,Electronics,Supplier C,2024-11-25,2024-12-04,368,61,17,344,829,Delhi,9
PROD1204,Camera,Sports,Supplier A,2023-10-22,2023-11-01,16,148,100,1175,1359,Hyderabad,10
PROD1205,Shoes,Sports,Supplier C,2024-03-30,2024-04-02,212,108,100,1388,1439,Chennai,3
PROD1206,AC,Home Appliances,Supplier D,2024-08-17,2024-08-22,352,142,187,425,582,Delhi,5
PROD1207,Laptop,Sports,Supplier D,2024-04-08,2024-04-16,138,133,112,868,1103,Mumbai,8
PROD1208,Watch,Fashion,Supplier D,2023-05-17,2023-05-27,165,134,267,788,890,Chennai,10
PROD1209,TV,Electronics,Supplier E,2024-04-24,2024-04-26,483,52,277,324,455,Delhi,2
PROD1210,Mixer,Sports,Supplier E,2024-08-11,2024-08-14,171,60,23,329,732,Hyderabad,3
PROD1211,Mixer,Electronics,Supplier C,2024-11-05,2024-11-13,349,105,79,421,527,Chennai,8
PROD1212,Watch,Electronics,Supplier C,2024-07-22,2024-08-01,182,56,105,1257,1353,Chennai,10
PROD1213,Laptop,Electronics,Supplier E,2023-04-09,2023-04-18,261,59,135,442,634,Bangalore,9
PROD1214,Shoes,Home Appliances,Supplier C,2023-05-14,2023-05-22,374,85,145,1728,1810,Chennai,8
PROD1215,Camera,Home Appliances,Supplier B,2023-02-07,2023-02-12,333,74,103,1198,1629,Hyderabad,5
PROD1216,TV,Home Appliances,Supplier B,2024-07-17,2024-07-21,40,85,272,1528,1745,Delhi,4
PROD1217,AC,Home Appliances,Supplier D,2024-11-03,2024-11-04,152,119,278,347,664,Mumbai,1
PROD1218,Watch,Home Appliances,Supplier C,2023-07-14,2023-07-20,401,140,218,1275,1715,Delhi,6
PROD1219,Tablet,Sports,Supplier A,2023-08-28,2023-09-02,486,69,154,990,1113,Bangalore,5
PROD1220,TV,Sports,Supplier B,2024-07-19,2024-07-29,397,125,231,349,764,Chennai,10
PROD1221,Shoes,Home Appliances,Supplier D,2024-02-16,2024-02-17,173,79,290,453,953,Delhi,1
PROD1222,TV,Sports,Supplier A,2024-05-14,2024-05-18,247,56,200,403,763,Chennai,4
PROD1223,Watch,Sports,Supplier A,2023-08-08,2023-08-16,97,72,144,920,1192,Hyderabad,8
PROD1224,Phone,Home Appliances,Supplier B,2024-10-06,2024-10-09,472,97,103,1737,2049,Hyderabad,3
PROD1225,TV,Electronics,Supplier A,2024-08-24,2024-08-26,481,134,179,1796,2287,Chennai,2
PROD1226,Watch,Fashion,Supplier E,2023-03-14,2023-03-15,41,75,208,1600,2064,Chennai,1
PROD1227,Mixer,Fashion,Supplier D,2024-02-14,2024-02-16,104,81,130,349,808,Mumbai,2
PROD1228,Laptop,Home Appliances,Supplier E,2024-09-28,2024-10-01,438,72,283,1087,1200,Delhi,3
PROD1229,Fan,Electronics,Supplier A,2024-11-27,2024-12-07,424,85,142,1363,1811,Bangalore,10
PROD1230,AC,Sports,Supplier E,2023-04-04,2023-04-14,343,62,191,400,845,Chennai,10
PROD1231,Camera,Fashion,Supplier E,2023-12-01,2023-12-10,75,85,220,1942,2241,Delhi,9
PROD1232,Laptop,Home Appliances,Supplier A,2024-02-29,2024-03-10,110,148,124,1937,2166,Delhi,10
PROD1233,Camera,Sports,Supplier E,2023-09-20,2023-09-28,410,72,58,1483,1944,Chennai,8
PROD1234,AC,Electronics,Supplier D,2023-08-30,2023-09-05,139,125,31,641,831,Chennai,6
PROD1235,Camera,Home Appliances,Supplier C,2024-12-20,2024-12-29,330,85,256,302,426,Delhi,9
PROD1236,AC,Home Appliances,Supplier E,2024-03-26,2024-04-03,422,51,29,311,441,Mumbai,8
PROD1237,Shoes,Sports,Supplier B,2024-03-11,2024-03-14,161,68,185,1304,1769,Hyderabad,3
PROD1238,Phone,Fashion,Supplier A,2024-05-03,2024-05-05,427,79,18,387,643,Chennai,2
PROD1239,Mixer,Home Appliances,Supplier C,2023-07-14,2023-07-21,115,97,66,1152,1558,Delhi,7
PROD1240,Fan,Electronics,Supplier C,2023-09-16,2023-09-18,104,92,275,494,819,Mumbai,2
PROD1241,Phone,Sports,Supplier B,2023-10-17,2023-10-20,421,136,175,1634,1748,Mumbai,3
PROD1242,Shoes,Sports,Supplier D,2023-04-04,2023-04-14,82,137,214,298,772,Mumbai,10
PROD1243,Camera,Electronics,Supplier E,2024-02-19,2024-02-27,69,145,217,276,761,Bangalore,8
PROD1244,Shoes,Home Appliances,Supplier C,2024-12-01,2024-12-05,115,124,198,1354,1670,Chennai,4
PROD1245,Laptop,Fashion,Supplier D,2024-02-06,2024-02-15,159,150,163,657,859,Delhi,9
PROD1246,Phone,Electronics,Supplier C,2024-02-27,2024-03-01,414,141,59,961,1401,Mumbai,3
PROD1247,Mixer,Sports,Supplier C,2024-05-09,2024-05-15,3,130,255,1385,1767,Bangalore,6
PROD1248,Fan,Sports,Supplier D,2024-06-07,2024-06-12,80,134,36,213,602,Delhi,5
PROD1249,AC,Fashion,Supplier E,2023-09-08,2023-09-09,475,61,254,386,447,Delhi,1
PROD1250,Shoes,Sports,Supplier B,2023-08-20,2023-08-26,192,76,222,800,1232,Hyderabad,6
PROD1251,AC,Fashion,Supplier E,2023-10-11,2023-10-12,201,96,199,810,1204,Hyderabad,1
PROD1252,Laptop,Home Appliances,Supplier A,2023-05-24,2023-05-31,97,87,64,1117,1338,Chennai,7
